id,contract,function,bug_lines,original_class,final_class,reclass_reason,bug_category,proxy_type,l4a_axis,primary_G,silent_sanction,aux_injection_viable,general_specific_boundary,intent_level_blocker,secondary_concerns,notes
web3bugs_25_H_01,CompositeMultiOracle,_peek;_get,116;126,L4a,L4a,,value,A_candidate,alpha,G1;G3,Y,Y,N,Y,grammar_revision_adds_star_star_so_G2_no_longer_blocker,struct_field_proxy_ambiguity_alcueca_vs_cmichel_reading
web3bugs_25_H_05,CTokenMultiOracle,_setSource,110,L4a,L4a,,value,B,beta,G1;G3,N,Y,Y,Y,,purest_Type_B_example_hardcoded_18
web3bugs_29_H_05,HybridPool,_nonOptimalMintFee,433,L4a,L4a,,algorithm,B,alpha,G1;G3,Y,Y,N,Y,,grammar_algebraic_coincidence_with_CP_buggy_formula
web3bugs_39_H_02,Swivel,exitVaultFillingVaultInitiate,280,L4a,L4a,L5b_trial_withdrawn_arg_n_proxy_is_not_intent_level,algorithm,B,gamma,G3;G8,Y,N,N,Y,natspec_drives_silent_sanction,cross_line_fee_flow_composition_external_ERC20_state
web3bugs_51_H_04,SwapUtils,getYC,765;767;768,L4a,L4a,,algorithm,B,alpha_and_gamma,G1;G3,Y,Y_hard,N,Y,nonlinear_boundary_equation_multi_step,missing_split_decomposition_dual_A_curve
web3bugs_51_H_06,SwapUtils,addLiquidity,1231,L4a,L4a,,algorithm,B,alpha,G1;G3,Y,Y,N,Y,potential_L1a_unverified_unlikely,Case5_twin_consistent_A_D_absence
web3bugs_59_H_05,AuctionEscapeHatch,exitEarly,83;87,L4a,L4a,annotation_plans_md_says_L5b_but_limitation_types_md_says_L4a_objective_judgment_L4a,algorithm,B,alpha,G1;G3;G8,Y,Y,N,Y,annotation_plans_vs_limitation_types_inconsistency_needs_fix,Case4_twin_dual_use_value_collapse_pre_vs_post_penalty
web3bugs_61_H_01,CreditLine,_borrowTokensToLiquidate,1050,L4a,L4a,L5b_trial_withdrawn_arg_n_is_lint_level_I9_principle_semantic_channel_blocked_by_IReturn_arg_indifference,value,B,alpha,G1;G3;G8,N,N,N,Y,IReturn_arg_indifference_blocks_semantic_distinguishing_same_cell_as_Case2_Case7,oracle_arg_order_bug_semantic_channel_L4a_Case2_Case7_twin_Value_TypeB_cell
web3bugs_61_H_02,SavingsAccountUtil,savingsAccountTransfer,75;77;79,L4a,L4a,annotation_plans_md_said_L5a_but_self_contradictory_limitation_types_md_says_L4a_confirmed,value,B,alpha,G1;G3;G8,Y,Y_hard,N,Y,IReturn_blocked_for_state_modifying_interface_transfer_call,Case7_twin_wrapper_return_misrouting_drop_pattern_pps_shares_mismatch
web3bugs_61_H_04,YearnYield,getTokensForShares,180,L4a,L4a,,value,B,alpha,G1;G3,Y,Y,Y,Y,grammar_revision_adds_star_star_aux_injection_then_viable_L5_transit,Case1_Case2_scaling_trio_decimals_based_L4a_pure_Type_B_version_of_Case1
web3bugs_17_H_02,Buoy3Pool,safetyCheck,88,L4b,L4b,annotation_plans_md_said_L5a_but_post_condition_not_expressible_due_to_missing_scope_vars_limitation_types_L4b_confirmed,algorithm,B,,G1;G3;G4,Y,Y_hard,N,Y,natspec_drives_silent_sanction_incorrect_transitivity_claim_data_model_extension_needed_for_L5_transit,view_function_missing_b_c_check_AND_missing_cache_state_var_deepest_L4b_requires_data_model_extension
