topo_id,topo_name,width_id,width_desc,L,R,op,bf_prob,fn_prob,state,risk_score,match
1-1,분리(L왼쪽),S,small,"[5,7]","[10,12]",>,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),S,small,"[5,7]","[10,12]",>=,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),S,small,"[5,7]","[10,12]",<,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),S,small,"[5,7]","[10,12]",<=,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),S,small,"[5,7]","[10,12]",==,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),S,small,"[5,7]","[10,12]",!=,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),S,small,"[5,7]","[10,12]",in,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),S,small,"[5,7]","[10,12]",not in,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),M,medium,"[0,8]","[12,20]",>,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),M,medium,"[0,8]","[12,20]",>=,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),M,medium,"[0,8]","[12,20]",<,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),M,medium,"[0,8]","[12,20]",<=,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),M,medium,"[0,8]","[12,20]",==,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),M,medium,"[0,8]","[12,20]",!=,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),M,medium,"[0,8]","[12,20]",in,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),M,medium,"[0,8]","[12,20]",not in,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),L,large,"[0,30]","[35,80]",>,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),L,large,"[0,30]","[35,80]",>=,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),L,large,"[0,30]","[35,80]",<,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),L,large,"[0,30]","[35,80]",<=,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),L,large,"[0,30]","[35,80]",==,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),L,large,"[0,30]","[35,80]",!=,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),L,large,"[0,30]","[35,80]",in,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),L,large,"[0,30]","[35,80]",not in,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),AL,asym-L,"[0,40]","[45,47]",>,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),AL,asym-L,"[0,40]","[45,47]",>=,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),AL,asym-L,"[0,40]","[45,47]",<,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),AL,asym-L,"[0,40]","[45,47]",<=,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),AL,asym-L,"[0,40]","[45,47]",==,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),AL,asym-L,"[0,40]","[45,47]",!=,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),AL,asym-L,"[0,40]","[45,47]",in,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),AL,asym-L,"[0,40]","[45,47]",not in,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),AR,asym-R,"[5,7]","[12,55]",>,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),AR,asym-R,"[5,7]","[12,55]",>=,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),AR,asym-R,"[5,7]","[12,55]",<,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),AR,asym-R,"[5,7]","[12,55]",<=,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),AR,asym-R,"[5,7]","[12,55]",==,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),AR,asym-R,"[5,7]","[12,55]",!=,1.0,1.0,satisfied,0.0,PASS
1-1,분리(L왼쪽),AR,asym-R,"[5,7]","[12,55]",in,0.0,0.0,violated,10.0,PASS
1-1,분리(L왼쪽),AR,asym-R,"[5,7]","[12,55]",not in,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),S,small,"[10,12]","[5,7]",>,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),S,small,"[10,12]","[5,7]",>=,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),S,small,"[10,12]","[5,7]",<,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),S,small,"[10,12]","[5,7]",<=,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),S,small,"[10,12]","[5,7]",==,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),S,small,"[10,12]","[5,7]",!=,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),S,small,"[10,12]","[5,7]",in,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),S,small,"[10,12]","[5,7]",not in,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),M,medium,"[12,20]","[0,8]",>,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),M,medium,"[12,20]","[0,8]",>=,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),M,medium,"[12,20]","[0,8]",<,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),M,medium,"[12,20]","[0,8]",<=,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),M,medium,"[12,20]","[0,8]",==,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),M,medium,"[12,20]","[0,8]",!=,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),M,medium,"[12,20]","[0,8]",in,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),M,medium,"[12,20]","[0,8]",not in,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),L,large,"[35,80]","[0,30]",>,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),L,large,"[35,80]","[0,30]",>=,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),L,large,"[35,80]","[0,30]",<,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),L,large,"[35,80]","[0,30]",<=,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),L,large,"[35,80]","[0,30]",==,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),L,large,"[35,80]","[0,30]",!=,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),L,large,"[35,80]","[0,30]",in,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),L,large,"[35,80]","[0,30]",not in,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),AL,asym-L,"[45,85]","[10,12]",>,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),AL,asym-L,"[45,85]","[10,12]",>=,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),AL,asym-L,"[45,85]","[10,12]",<,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),AL,asym-L,"[45,85]","[10,12]",<=,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),AL,asym-L,"[45,85]","[10,12]",==,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),AL,asym-L,"[45,85]","[10,12]",!=,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),AL,asym-L,"[45,85]","[10,12]",in,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),AL,asym-L,"[45,85]","[10,12]",not in,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),AR,asym-R,"[50,52]","[0,40]",>,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),AR,asym-R,"[50,52]","[0,40]",>=,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),AR,asym-R,"[50,52]","[0,40]",<,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),AR,asym-R,"[50,52]","[0,40]",<=,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),AR,asym-R,"[50,52]","[0,40]",==,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),AR,asym-R,"[50,52]","[0,40]",!=,1.0,1.0,satisfied,0.0,PASS
1-2,분리(R왼쪽),AR,asym-R,"[50,52]","[0,40]",in,0.0,0.0,violated,10.0,PASS
1-2,분리(R왼쪽),AR,asym-R,"[50,52]","[0,40]",not in,1.0,1.0,satisfied,0.0,PASS
2-1,부분겹침(L왼쪽),S,small,"[3,5]","[4,7]",>,0.083,0.083,warning,6.3,PASS
2-1,부분겹침(L왼쪽),S,small,"[3,5]","[4,7]",>=,0.25,0.25,warning,5.8,PASS
2-1,부분겹침(L왼쪽),S,small,"[3,5]","[4,7]",<,0.75,0.75,warning,4.2,PASS
2-1,부분겹침(L왼쪽),S,small,"[3,5]","[4,7]",<=,0.917,0.917,warning,3.7,PASS
2-1,부분겹침(L왼쪽),S,small,"[3,5]","[4,7]",==,0.167,0.167,warning,9.4,PASS
2-1,부분겹침(L왼쪽),S,small,"[3,5]","[4,7]",!=,0.833,0.833,warning,7.2,PASS
2-1,부분겹침(L왼쪽),S,small,"[3,5]","[4,7]",in,0.667,0.667,warning,4.5,PASS
