id,source,contract,function,bug_lines,result,annotation_kind,annotation_family,final_class,bug_category,proxy_type,l4a_axis,bug_awareness,silent_sanction,aux_injection_viable,notes
numscout_WANGMI,numscout,WANGMI,_transfer,428,VIOLATED,indirect,during_BeforeAfter,,,,,,,,div_in_path: fees.mul(sellLiquidityFee).div(sellTotalFees) precision loss
numscout_Nokon,numscout,Nokon,buy,51,VIOLATED,indirect,during_RelationalCmp,,,,,,,,exchange_problem: division-first precision loss
numscout_SwordCrowdsale,numscout,SwordCrowdsale,refundMoney,33,VIOLATED,direct,post_EntryExit,,,,,,,,greedy_contract: weiRaised -= amount missing
numscout_BoostToken_operator,numscout,BoostToken,sendETHToTeam,141;142,VIOLATED,indirect,during_FunctionArg,,,,,,,,operator_order_issue: div-then-mul precision loss
numscout_BoostToken_indivisible,numscout,BoostToken,sendETHToTeam,933;934;935;936,VIOLATED,indirect,during_FunctionArg,,,,,,,,indivisible_amount: divisor too large yields zero
numscout_HIT,numscout,HIT,getTokens,126;144,VIOLATED,indirect,during_Implication,,,,,,,,profit_opportunity: rounding favors caller
web3bugs_5_H_07,web3bugs,Utils,calcAsymmetricShare,273,VIOLATED,indirect,during_RelationalCmp,,,,,,,,wrong calcAsymmetricShare calculation
web3bugs_5_H_08,web3bugs,Utils,calcLiquidityUnits,239,VIOLATED,indirect,during_RelationalCmp,,,,,,,,wrong liquidity units calculation
web3bugs_5_H_12,web3bugs,Pools,getAddedAmount,201,VIOLATED,direct,post_ReturnExprCmp,,,,,,,,getAddedAmount may return wrong results
web3bugs_45_H_01,web3bugs,UToken,borrow,403;409;413,VIOLATED,indirect,during_BeforeAfter,,,,,,,,borrow must accrueInterest first
web3bugs_47_H_02,web3bugs,WrappedIbbtcEth,transferFrom,111,VIOLATED,direct,post_RelationalCmp,,,,,,,,approved spender can spend too many tokens
web3bugs_51_H_02,web3bugs,SwapUtils,rampTargetPrice,1573;1578,VIOLATED,indirect,during_Feasible,,,,,,,,cannot update target price
web3bugs_56_H_02,web3bugs,CDP,update,39,VIOLATED,direct,post_EntryExit,,,,,,,,CDP.update overwrites user credit on positive increment
web3bugs_58_H_02,web3bugs,LpIssuer,_chargeFees,270,VIOLATED,indirect,during_RelationalCmp,,,,,,,,performanceFee wrong implementation
web3bugs_60_H_01,web3bugs,OptimisticLedgerLib,settleAccount,68;73,VIOLATED,indirect,during_RelationalCmp,,,,,,,,wrong shortfall calculation
web3bugs_62_H_08,web3bugs,Stream,updateStreamInternal,226;229;230,VIOLATED,direct,post_RelationalCmp,,,,,,,,ts.tokens sometimes calculated incorrectly
web3bugs_70_H_10,web3bugs,LiquidityBasedTWAP,syncVaderPrice,187,VIOLATED,direct,post_VarChanged,,,,,,,,previousPrices never updated upon syncing token price
web3bugs_77_H_01,web3bugs,MathLib,calculateLiquidityTokenQtyForSingleAssetEntry,174;175;176;177;178;179;180;181;182;183;184;185,VIOLATED,direct,post_ReturnExprCmp,,,,,,,,single-asset-entry computation flaw
web3bugs_78_H_02,web3bugs,RebaseProxy,mint,36,VIOLATED,direct,post_EntryExit,,,,,,,,wrong minting amount
web3bugs_101_H_01,web3bugs,LenderPool,_calculatePrincipalWithdrawable,678;679;680,VIOLATED,indirect,during_RelationalCmp,,,,,,,,principal withdrawable incorrectly calculated with non-zero start fee
web3bugs_25_H_01,web3bugs,CompositeMultiOracle,_peek;_get,116;126,not_detectable,,,L4a,value,B,alpha,,Y,Y,runtime_equivalent_in_alcueca_reading_but_audit_accepts_as_bug_under_cmichel_framing_Type_B_proxy_unreliable
web3bugs_25_H_05,web3bugs,CTokenMultiOracle,_setSource,110,not_detectable,,,L4a,value,B,beta,,N,Y,purest_Type_B_example_hardcoded_18
web3bugs_29_H_05,web3bugs,HybridPool,_nonOptimalMintFee,433,not_detectable,,,L4a,algorithm,B,alpha,,Y,Y,grammar_algebraic_coincidence_with_CP_buggy_formula
web3bugs_39_H_02,web3bugs,Swivel,exitVaultFillingVaultInitiate,280,not_detectable,,,L4a,algorithm,B,gamma,,Y,N,cross_line_fee_flow_composition_external_ERC20_state
web3bugs_51_H_04,web3bugs,SwapUtils,getYC,765;767;768,not_detectable,,,L4a,algorithm,B,alpha_and_gamma,,Y,Y_hard,missing_split_decomposition_dual_A_curve
web3bugs_51_H_06,web3bugs,SwapUtils,addLiquidity,1231,not_detectable,,,L4a,algorithm,B,alpha,,Y,Y,Case5_twin_consistent_A_D_absence
web3bugs_59_H_05,web3bugs,AuctionEscapeHatch,exitEarly,83;87,not_detectable,,,L4a,algorithm,B,alpha,,Y,Y,Case4_twin_dual_use_value_collapse_pre_vs_post_penalty
web3bugs_61_H_01,web3bugs,CreditLine,_borrowTokensToLiquidate,1050,not_detectable,,,L4a,value,B,alpha,,N,N,oracle_arg_order_bug_semantic_channel_L4a_Case2_Case7_twin_Value_TypeB_cell
