id,contract,function,bug_lines,original_class,final_class,reclass_reason,bug_category,proxy_type,l4a_axis,primary_G,silent_sanction,aux_injection_viable,general_specific_boundary,intent_level_blocker,secondary_concerns,notes,bug_awareness,annotation_tier,annotation_text
web3bugs_25_H_01,CompositeMultiOracle,_peek;_get,116;126,L4a,L4a,A_candidate_resolved_to_B_proxy_unreliable_depends_on_setSource_invariant_not_code_enforced,value,B,alpha,G1;G3,Y,Y,N,Y,latent_invariant_dependent_proxy_source_decimals_equals_oracle_decimals_by_setSource_construction_only,runtime_equivalent_in_alcueca_reading_but_audit_accepts_as_bug_under_cmichel_framing_Type_B_proxy_unreliable,,,
web3bugs_25_H_05,CTokenMultiOracle,_setSource,110,L4a,L4a,,value,B,beta,G1;G3,N,Y,Y,Y,,purest_Type_B_example_hardcoded_18,,,
web3bugs_29_H_05,HybridPool,_nonOptimalMintFee,433,L4a,L4a,,algorithm,B,alpha,G1;G3,Y,Y,N,Y,,grammar_algebraic_coincidence_with_CP_buggy_formula,,,
web3bugs_39_H_02,Swivel,exitVaultFillingVaultInitiate,280,L4a,L4a,L5b_trial_withdrawn_arg_n_proxy_is_not_intent_level,algorithm,B,gamma,G3;G8,Y,N,N,Y,natspec_drives_silent_sanction,cross_line_fee_flow_composition_external_ERC20_state,,,
web3bugs_51_H_04,SwapUtils,getYC,765;767;768,L4a,L4a,,algorithm,B,alpha_and_gamma,G1;G3,Y,Y_hard,N,Y,nonlinear_boundary_equation_multi_step,missing_split_decomposition_dual_A_curve,,,
web3bugs_51_H_06,SwapUtils,addLiquidity,1231,L4a,L4a,,algorithm,B,alpha,G1;G3,Y,Y,N,Y,potential_L1a_unverified_unlikely,Case5_twin_consistent_A_D_absence,,,
web3bugs_59_H_05,AuctionEscapeHatch,exitEarly,83;87,L4a,L4a,annotation_plans_md_says_L5b_but_limitation_types_md_says_L4a_objective_judgment_L4a,algorithm,B,alpha,G1;G3;G8,Y,Y,N,Y,annotation_plans_vs_limitation_types_inconsistency_needs_fix,Case4_twin_dual_use_value_collapse_pre_vs_post_penalty,,,
web3bugs_61_H_01,CreditLine,_borrowTokensToLiquidate,1050,L4a,L4a,L5b_trial_withdrawn_arg_n_is_lint_level_I9_principle_semantic_channel_blocked_by_IReturn_arg_indifference,value,B,alpha,G1;G3;G8,N,N,N,Y,IReturn_arg_indifference_blocks_semantic_distinguishing_same_cell_as_Case2_Case7,oracle_arg_order_bug_semantic_channel_L4a_Case2_Case7_twin_Value_TypeB_cell,,,
web3bugs_61_H_02,SavingsAccountUtil,savingsAccountTransfer,75;77;79,L4a,L4a,annotation_plans_md_said_L5a_but_self_contradictory_limitation_types_md_says_L4a_confirmed,value,B,alpha,G1;G3;G8,Y,Y_hard,N,Y,IReturn_blocked_for_state_modifying_interface_transfer_call,Case7_twin_wrapper_return_misrouting_drop_pattern_pps_shares_mismatch,,,
web3bugs_61_H_04,YearnYield,getTokensForShares,180,L4a,L4a,,value,B,alpha,G1;G3,Y,Y,Y,Y,grammar_revision_adds_star_star_aux_injection_then_viable_L5_transit,Case1_Case2_scaling_trio_decimals_based_L4a_pure_Type_B_version_of_Case1,,,
web3bugs_17_H_02,Buoy3Pool,safetyCheck,88,L4b,L4b,annotation_plans_md_said_L5a_but_post_condition_not_expressible_due_to_missing_scope_vars_limitation_types_L4b_confirmed,algorithm,B,,G1;G3;G4,Y,Y_hard,N,Y,natspec_drives_silent_sanction_incorrect_transitivity_claim_data_model_extension_needed_for_L5_transit,view_function_missing_b_c_check_AND_missing_cache_state_var_deepest_L4b_requires_data_model_extension,,,
web3bugs_52_H_15,VaderRouter,_swap,326,L4b,L4b,limitation_types_md_self_inconsistent_L4b_list_and_L5b_examples_both_contain_this_case_I9_principle_picks_L4b,value,B,,G1;G3;G4;G8,Y,N,N,Y,arg_n_lint_level_excluded_per_I9_router_wrapper_no_state,pool_swap_arg_order_reversal_3_path_revert_all_cases_router_wrapper_L4b_archetype,,,
web3bugs_35_H_10,ConcentratedLiquidityPool,burn,264;265,L4c,L4c,,value,A,,G5,N,Y,N,Y,grammar_postClause_only_qualitative_entry_exit_relOp_no_magnitude_arithmetic,only_L4c_case_magnitude_only_diff_Type_A_proxy_in_scope_but_grammar_limit_snapshot_injection_enables_L5_transit,,,
web3bugs_36_H_02,Basket,auctionBurn,102;103;105,L4d,L4d,,algorithm,A,,G6,Y,Y,Y,Y,handleFees_masks_changed_annotation_in_scenario_A_product_invariant_needs_arithmetic_postEntryExit,only_L4d_case_multi_var_product_invariant_ibRatio_totalSupply_preservation_merger_candidate_with_L4c_both_grammar_limit,,,
web3bugs_52_H_16,VaderRouter,calculateOutGivenIn,488;489;490;491,L4b,L4b,annotation_plans_L5b_but_view_function_no_state_I9_principle_L4b,value,B,,G1;G3;G4,Y,N,N,Y,,Case12_52H15_twin_view_version_pool0_pool1_reserve_order_swap,,,
web3bugs_58_H_04,AaveVault,tvl;_push,47,L4b,L4b,annotation_plans_L5a_but_ordering_problem_not_expressible_L4b_per_function_type,algorithm,B,,G1;G3;G4,Y,Y_hard,N,Y,,stale_cache_tvl_ordering_bug_updateTvls_before_deposit_missing_missing_check_family_Case11_twin,,,
web3bugs_62_H_01,Stream,recoverTokens,654,L4b,L4b,annotation_plans_L5a_but_wrapper_no_state_balanceOf_inline_chain_I9_principle,algorithm,B,,G1;G3;G4,Y,Y,N,Y,,missing_formula_term_flashloan_fee_deduction_balanceOf_inline_unbound_Case9_wrapper_family,,,
web3bugs_70_H_08,VaderReserve,reimburseImpermanentLoss,98;102,L4b,L4b,annotation_plans_L5a_but_wrapper_no_state_parameter_overwrite_original_lost,value,B,,G1;G3;G4,Y,Y,N,Y,,scaling_factor_missing_1e18_parameter_overwrite_loses_original_Case1_Case10_wrapper_version,,,
web3bugs_83_H_02,MasterChef,deposit,170;171;172,L4b,L4b,,algorithm,B,,G3;G4,Y,N,N,Y,fee_recipient_state_slot_absent_from_data_model,missing_state_update_fee_recipient_data_model_absence_Case11_twin,,,
web3bugs_110_H_01,StakedCitadel,balance,293;294,L4b,L4b,annotation_plans_L5a_but_view_function_missing_call_site_G3_I9_L4b,algorithm,B,,G1;G3;G4,Y,Y,N,Y,,missing_strategy_balance_call_NatSpec_mentions_vault_plus_strategy_Case11_Case16_Case20_family,,,
web3bugs_35_H_12,ConcentratedLiquidityPool,mint,176;184,L5a,L5a,,value,A,,,N,,N,N,abi_decode_param_L3_partial_debug_annotation_limit,secondsPerLiquidity_missing_update_swap_sibling_consistency,consistency,weak,"// @Post changed(secondsPerLiquidity, true)"
web3bugs_52_H_23,VaderPoolV2,mintSynth,161,L5a,L5a,,value,A,,,N,,N,N,,reserveForeign_missing_deduction_synth_minting_economics_domain_required,domain,weak,// @Post pairInfo[foreignAsset].reserveForeign(Entry > Exit)
web3bugs_62_H_03,Stream,claimReward,575,L5a,L5a,,value,A,,,N,,N,N,,rewardTokenAmount_missing_decrement_token_transfer_tracking_pattern,consistency,weak,// @Post rewardTokenAmount(Entry > Exit)
web3bugs_62_H_10,Stream,creatorClaimSoldTokens,597,L5a,L5a,,value,A,,,N,,N,N,,Case23_twin_deposit_token_transfer_tracking_missing_update,consistency,strong,// @Post redeemedDepositTokens == depositTokenAmount
web3bugs_65_H_01,Basket,handleFees,136;137,L5a,L5a,,value,A,,,N,,N,N,,lastFee_missing_update_in_startSupply_zero_branch_inter_branch_inconsistency,consistency,strong,// @Post lastFee == block.timestamp
web3bugs_83_H_01,MasterChef,add,89,L5a,L5a,,algorithm,A,,,N,,N,N,,massUpdatePools_missing_call_before_totalAllocPoint_change_existing_pools_accConcurPerShare_invariant,mixed,weak,"// @Post changed(poolInfo[0].accConcurPerShare, true)"
web3bugs_192_H_01,Lock,extendLock,90;91,L5a,L5a,,value,A,,,N,,N,N,,totalLocked_missing_update_lock_sibling_consistency_leads_to_release_underflow,consistency,weak,// @Post totalLocked[_asset](Entry < Exit)
web3bugs_31_H_01,MyStrategy,manualRebalance,469;471;477,L5b,L5b,,value,A,,,N,,N,N,,currentLockRatio_dimensional_mismatch_ratio_vs_amount_downstream_usage_analysis_domain,domain,strong,// @During currentLockRatio == balanceInLock
web3bugs_35_H_11,Ticks,cross,40;49,L5b,L5b,,value,A,,,N,,N,N,,wrong_struct_field_feeGrowthOutside0_vs_1_zeroForOne_token1_outside1_mapping,domain,weak,"// @Post changed(ticks[nextTickToCross].feeGrowthOutside1, true)"
web3bugs_70_H_09,USDV,mint;burn,76;109,L5b,L5b,,value,A,,,N,,N,N,,wrong_price_conversion_direction_oracle_spec_dependent,domain,strong,// @During uAmount == vAmount * 1e18 / vPrice
web3bugs_79_H_02,LaunchEvent,createPair,398,L5b,L5b,,value,A,,,N,,N,N,,wrong_scaling_factor_token_decimals_vs_1e18_natspec_partial_hint,domain,strong,// @During tokenAllocated == wavaxReserve * 1e18 / floorPrice
web3bugs_101_H_02,LenderPool,terminate,389;400,L5b,L5b,,value,A,,,N,,N,N,,token_share_mixing_should_use_sharesHeld_directly_terminate_semantic,domain,strong,// @During _totalBorrowAsset == _sharesHeld
web3bugs_112_H_01,StakerVault,transfer,112;113;117;118,L5b,L5b,,algorithm,A,,,N,,N,N,,operation_ordering_balance_before_checkpoint_transferFrom_sibling_correct,consistency,weak,"// @During changed(balances[msg.sender], false)"
web3bugs_113_H_05,NFTPairWithOracle,_lend,316,L5b,L5b,,value,A,,,N,,N,N,,wrong_require_operator_GE_should_be_LE_lender_favorable_direction,domain,strong,// @During params.ltvBPS <= accepted.ltvBPS
